date,device,failure,metric1,metric2,metric3,metric4
1/1/2015,S1F01085,0,215630672,55,0,52
1/1/2015,S1F0166B,0,61370680,0,3,0
1/1/2015,S1F01E6Y,0,173295968,0,0,0
1/1/2015,S1F01JE0,0,79694024,0,0,0
1/1/2015,S1F01R2B,0,135970480,0,0,0
1/1/2015,S1F01TD5,0,68837488,0,0,41
1/1/2015,S1F01XDJ,0,227721632,0,0,0
1/1/2015,S1F023H2,0,141503600,0,0,1
1/1/2015,S1F02A0J,0,8217840,0,1,0
1/1/2015,S1F02DZ2,0,116440096,0,378,9
1/1/2015,S1F02EVN,0,112348104,0,0,0
1/1/2015,S1F02L38,0,223938928,0,0,0
1/1/2015,S1F02MGA,0,44399688,0,266,1
1/1/2015,S1F02P76,0,104131304,1536,0,175
1/1/2015,S1F02VAX,0,61019512,168,2,521
1/1/2015,S1F02WFT,0,44348552,6150,14,1074
1/1/2015,S1F0318A,0,35018688,0,0,0
1/1/2015,S1F0322R,0,34540712,0,0,0
1/1/2015,S1F0330P,0,125539768,0,0,12
1/1/2015,S1F035SJ,0,220392160,0,0,0
1/1/2015,S1F0377V,0,166567552,0,0,23
1/1/2015,S1F039FE,0,218786520,0,0,6
1/1/2015,S1F03RV3,0,176851840,0,0,0
1/1/2015,S1F03YZM,0,55587136,0,0,0
1/1/2015,S1F044ET,0,161730848,0,0,0
1/1/2015,S1F049RX,0,181980928,0,0,4
1/1/2015,S1F04DH8,0,134506192,0,9,0
1/1/2015,S1F04KSC,0,105234552,392,24929,529
1/1/2015,S1F04MVQ,0,41356960,1984,0,46
1/1/2015,S1F04R7Y,0,126680112,0,0,0
1/1/2015,S1F04TS4,0,11041528,0,0,8
1/1/2015,S1F04Y6C,0,121664216,0,0,7
1/1/2015,S1F059G0,0,131625384,0,14,0
1/1/2015,S1F05AFP,0,182270456,0,0,2
1/1/2015,S1F05B1Q,0,163784840,0,0,7
1/1/2015,S1F05NAJ,0,133978568,192,0,0
1/1/2015,S1F05P51,0,188415568,496,0,0
1/1/2015,S1F05P5Z,0,212782472,928,0,3
1/1/2015,S1F06E04,0,67826320,1952,0,12
1/1/2015,S1F06F7K,0,124661944,128,0,0
1/1/2015,S1F06R6W,0,107727520,0,0,0
1/1/2015,S1F06ZX2,0,118304768,0,0,0
1/1/2015,S1F08R94,0,193299520,0,1,0
1/1/2015,S1F08S38,0,36835520,744,3,2
1/1/2015,S1F09DZQ,0,12568128,136,0,2
1/1/2015,S1F09MAK,0,9461552,7928,0,7
1/1/2015,S1F09MSM,0,150282408,360,0,0
1/1/2015,S1F0A1PX,0,32240224,0,0,0
1/1/2015,S1F0A1VP,0,214406240,8,1,8
1/1/2015,S1F0AADQ,0,204365424,0,0,0
1/1/2015,S1F0AEFT,0,201740416,0,0,0
1/1/2015,S1F0B3XA,0,138051992,464,0,3
1/1/2015,S1F0B5QJ,0,190272496,21528,0,331
1/1/2015,S1F0BN0S,0,164954392,1392,0,0
1/1/2015,S1F0BQZK,0,16350056,128,3,6
1/1/2015,S1F0BVK1,0,128177168,0,0,0
1/1/2015,S1F0BWZ3,0,77946232,0,0,0
1/1/2015,S1F0C95J,0,145431032,0,0,0
1/1/2015,S1F0CE60,0,116599776,0,0,0
1/1/2015,S1F0CSBR,0,117542136,352,0,1
1/1/2015,S1F0CSRZ,0,8337728,7448,382,7
1/1/2015,S1F0CT09,0,59979360,104,0,0
1/1/2015,S1F0CT4F,0,4308592,0,0,0
1/1/2015,S1F0CTDN,0,50147888,528,0,4
1/1/2015,S1F0CTDY,0,40804784,192,0,0
1/1/2015,S1F0CTRL,0,68179312,800,0,0
1/1/2015,S1F0CVDS,0,31652376,0,0,0
1/1/2015,S1F0CVRM,0,3131464,520,0,3
1/1/2015,S1F0CVWK,0,214520784,1888,0,6
1/1/2015,S1F0CVY5,0,149416256,1232,1326,4
1/1/2015,S1F0CWHW,0,181849512,368,0,0
1/1/2015,S1F0CWKN,0,127130528,0,0,0
1/1/2015,S1F0CWXJ,0,126520680,6336,0,1
1/1/2015,S1F0DKAN,0,229757712,0,0,0
1/1/2015,S1F0DSTY,0,8471680,0,0,0
1/1/2015,S1F0E9EP,0,106791400,0,0,0
1/1/2015,S1F0EEP2,0,134846800,0,0,0
1/1/2015,S1F0EGMT,0,84554144,0,0,0
1/1/2015,S1F0EGSH,0,40237712,0,0,0
1/1/2015,S1F0F4EB,0,239412320,0,0,0
1/1/2015,S1F0F4G4,0,211877800,0,0,0
1/1/2015,S1F0FGBQ,0,22235264,0,0,0
1/1/2015,S1F0FP0C,0,170455152,0,0,0
1/1/2015,S1F0FVBE,0,220310848,0,0,0
1/1/2015,S1F0FW8K,0,148364576,0,0,0
1/1/2015,S1F0FZ8F,0,131456656,0,0,0
1/1/2015,S1F0G0XX,0,199608968,0,0,0
1/1/2015,S1F0G9ZF,0,298304,0,0,0
1/1/2015,S1F0GCED,0,236579432,0,0,0
1/1/2015,S1F0GG8X,0,38395328,1232,0,0
1/1/2015,S1F0GGJD,0,729312,0,0,0
1/1/2015,S1F0GGPP,0,183315424,0,0,0
1/1/2015,S1F0GHJ1,0,42570952,0,0,0
1/1/2015,S1F0GJL9,0,54378424,0,0,0
1/1/2015,S1F0GJW3,0,118683272,0,0,0
1/1/2015,S1F0GKFX,0,107148272,0,0,0
1/1/2015,S1F0GKL6,0,234778096,0,0,0
1/1/2015,S1F0GPFZ,0,53071760,0,0,0
1/1/2015,S1F0GPXY,0,22380768,0,0,0
1/1/2015,S1F0GQCL,0,113057752,0,0,0
1/1/2015,S1F0GRB1,0,141979144,0,0,0
1/1/2015,S1F0GSD9,0,2373368,0,0,0
1/1/2015,S1F0GSHB,0,156384480,0,0,0
1/1/2015,S1F0GV0W,0,167290904,0,5,6
1/1/2015,S1F0H6JG,0,91780872,0,0,0
1/1/2015,S1F0H6JJ,0,146195960,0,0,0
1/1/2015,S1F0HWXJ,0,167636672,0,0,0
1/1/2015,S1F0J5JH,0,58802968,0,0,0
1/1/2015,S1F0JD7P,0,17000896,0,0,0
1/1/2015,S1F0JGJV,0,95214880,0,0,0
1/1/2015,S1F0JMRJ,0,111709616,0,0,0
1/1/2015,S1F0KY6R,0,128410712,0,0,0
1/1/2015,S1F0KYCR,0,175582800,0,0,0
1/1/2015,S1F0KZJJ,0,61131968,0,0,0
1/1/2015,S1F0L0DW,0,211717136,0,0,0
1/1/2015,S1F0L11K,0,205419560,0,0,0
1/1/2015,S1F0LBMG,0,210532624,0,0,0
1/1/2015,S1F0LBY2,0,129849824,0,0,0
1/1/2015,S1F0LC06,0,216641792,0,0,0
1/1/2015,S1F0LCKH,0,195863944,0,0,0
1/1/2015,S1F0LCQX,0,41300112,0,0,0
1/1/2015,S1F0LCS6,0,166809968,0,0,0
1/1/2015,S1F0LCSV,0,120472544,0,0,0
1/1/2015,S1F0LCTV,0,215846224,0,0,1
1/1/2015,S1F0LCVC,0,180474968,0,0,0
1/1/2015,S1F0LD15,0,142117744,0,0,0
1/1/2015,S1F0LD2C,0,168591160,0,0,0
1/1/2015,S1F0LD73,0,199920328,0,0,0
1/1/2015,S1F0LDB5,0,43449600,17408,0,1
1/1/2015,S1F0LDED,0,165274944,0,0,0
1/1/2015,S1F0LDKM,0,108908712,0,0,0
1/1/2015,S1F0LDLW,0,63119808,0,0,0
1/1/2015,S1F0LE2X,0,47840256,0,0,26
1/1/2015,S1F0LEBM,0,151010312,0,0,0
1/1/2015,S1F0LHH2,0,121405080,1056,0,6
1/1/2015,S1F0LL2X,0,216903096,0,1,14
1/1/2015,S1F0LLKM,0,68189000,0,0,0
1/1/2015,S1F0LQDQ,0,156881360,0,0,0
1/1/2015,S1F0LR01,0,81021168,0,0,8
1/1/2015,S1F0M2PQ,0,225018736,0,0,6
1/1/2015,S1F0MBV5,0,129543120,0,0,0
1/1/2015,S1F0P1K7,0,138312440,0,0,0
1/1/2015,S1F0P2B4,0,23533944,0,0,0
1/1/2015,S1F0P3G2,0,48342824,0,0,0
1/1/2015,S1F0PEVC,0,156787912,0,0,0
1/1/2015,S1F0PF59,0,24736600,0,0,0
1/1/2015,S1F0PF5Q,0,54443832,0,0,0
1/1/2015,S1F0PG6Z,0,151045488,0,0,20
1/1/2015,S1F0PGHQ,0,174166216,0,0,0
1/1/2015,S1F0PGZ6,0,124392280,0,0,0
1/1/2015,S1F0PJAJ,0,221601392,0,0,0
1/1/2015,S1F0PJJW,0,202194456,0,0,0
1/1/2015,S1F0PJZP,0,203872952,0,0,0
1/1/2015,S1F0PK2J,0,173213656,0,0,0
1/1/2015,S1F0PK70,0,13491816,0,0,0
1/1/2015,S1F0PL0R,0,81639352,0,0,0
1/1/2015,S1F0PL7D,0,121954672,0,0,0
1/1/2015,S1F0PLEL,0,224186232,0,0,0
1/1/2015,S1F0PXZL,0,172194432,0,0,0
1/1/2015,S1F0QF3R,0,87216432,0,0,0
1/1/2015,S1F0QWEQ,0,115814816,0,0,0
1/1/2015,S1F0QWGA,0,239161152,0,0,0
1/1/2015,S1F0QWGD,0,29108992,0,0,0
1/1/2015,S1F0QWPP,0,9983976,0,0,0
1/1/2015,S1F0QWV6,0,26328712,0,0,9
1/1/2015,S1F0QWWF,0,177648608,0,0,0
1/1/2015,S1F0QWYG,0,183009864,0,0,0
1/1/2015,S1F0QWZP,0,165690112,0,0,0
1/1/2015,S1F0QX41,0,156719232,0,0,0
1/1/2015,S1F0QX4C,0,155578104,0,0,0
1/1/2015,S1F0QXCB,0,232321216,0,0,6
1/1/2015,S1F0QXDD,0,137279848,0,0,0
1/1/2015,S1F0QXDQ,0,217184136,0,0,0
1/1/2015,S1F0QXM0,0,144456576,0,0,0
1/1/2015,S1F0QXNB,0,19363776,0,0,0
1/1/2015,S1F0QXRG,0,182117472,0,0,15
1/1/2015,S1F0QXTJ,0,98523584,0,0,0
1/1/2015,S1F0QXVD,0,35870128,0,0,0
1/1/2015,S1F0QXXH,0,29726472,0,0,0
1/1/2015,S1F0QXYA,0,218318296,0,2,0
1/1/2015,S1F0QXZS,0,199126528,0,0,13
1/1/2015,S1F0QY05,0,134076008,0,0,2
1/1/2015,S1F0QY0Q,0,241721712,0,0,0
1/1/2015,S1F0QY11,0,10684704,0,0,9
1/1/2015,S1F0QY1C,0,91742664,0,5,0
1/1/2015,S1F0QY71,0,96821064,0,0,0
1/1/2015,S1F0QY8S,0,30685944,0,0,0
1/1/2015,S1F0QYBJ,0,32919128,0,0,0
1/1/2015,S1F0QYJX,0,26388160,0,2,0
1/1/2015,S1F0QYLA,0,167760320,0,1,0
1/1/2015,S1F0QYMX,0,93625680,0,0,0
1/1/2015,S1F0QYND,0,62045856,1160,0,17
1/1/2015,S1F0QYPA,0,30858600,0,0,0
1/1/2015,S1F0QYRB,0,238486208,0,0,6
1/1/2015,S1F0QYRS,0,126314952,0,0,0
1/1/2015,S1F0QYX3,0,208057056,0,0,0
1/1/2015,S1F0QYX4,0,23849392,0,0,0
1/1/2015,S1F0QYYB,0,201857416,0,0,0
1/1/2015,S1F0QZ0P,0,78973104,0,0,1
1/1/2015,S1F0QZSF,0,38293784,0,0,0
1/1/2015,S1F0QZXV,0,172431104,0,0,0
1/1/2015,S1F0QZYJ,0,169070552,0,0,0
1/1/2015,S1F0R0JT,0,51563264,0,0,0
1/1/2015,S1F0R0PX,0,4041152,0,0,0
1/1/2015,S1F0R12B,0,113161400,0,0,0
1/1/2015,S1F0R12Y,0,214843976,0,0,0
1/1/2015,S1F0R15Y,0,102455016,0,0,0
1/1/2015,S1F0R1GK,0,214204560,0,0,0
1/1/2015,S1F0R20R,0,142192576,0,0,0
1/1/2015,S1F0R2CW,0,44275160,0,0,0
1/1/2015,S1F0R2KW,0,177924640,0,0,0
1/1/2015,S1F0R2RJ,0,149103312,0,0,0
1/1/2015,S1F0R2S6,0,237004056,0,0,0
1/1/2015,S1F0R2SV,0,22472720,0,0,0
1/1/2015,S1F0R2VP,0,86072160,0,0,0
1/1/2015,S1F0R2VR,0,144964112,0,0,0
1/1/2015,S1F0R37Q,0,89922656,0,0,0
1/1/2015,S1F0R3FB,0,115946832,0,0,12
1/1/2015,S1F0R3JV,0,212851856,0,0,0
1/1/2015,S1F0R3LG,0,206216632,0,0,0
1/1/2015,S1F0R3N9,0,110363088,0,0,6
1/1/2015,S1F0R4JP,0,209839208,0,0,0
1/1/2015,S1F0R4JY,0,55982144,0,0,0
1/1/2015,S1F0R4Q8,0,88768680,0,0,0
1/1/2015,S1F0R4YC,0,111512096,0,0,27
1/1/2015,S1F0RG6V,0,218160168,0,0,0
1/1/2015,S1F0RKT7,0,233898336,0,0,0
1/1/2015,S1F0RM77,0,116885712,0,0,0
1/1/2015,S1F0RQLR,0,162608736,0,0,0
1/1/2015,S1F0RR0C,0,185880024,0,0,0
1/1/2015,S1F0RR2E,0,130143688,0,0,0
1/1/2015,S1F0RR35,0,194760840,136,0,0
1/1/2015,S1F0RR5M,0,114539208,0,0,6
1/1/2015,S1F0RR69,0,149775208,0,0,6
1/1/2015,S1F0RR7L,0,187633224,0,0,0
1/1/2015,S1F0RRB1,0,5230888,2288,0,37
1/1/2015,S1F0RRDW,0,231173024,0,0,0
1/1/2015,S1F0RREN,0,50458400,0,0,0
1/1/2015,S1F0RRXY,0,186368056,0,0,0
1/1/2015,S1F0RS3B,0,210389736,0,0,0
1/1/2015,S1F0RS72,0,236979776,0,0,0
1/1/2015,S1F0RS81,0,112575408,0,0,0
1/1/2015,S1F0RSDT,0,44926784,0,0,0
1/1/2015,S1F0RSER,0,177948000,0,0,0
1/1/2015,S1F0RSFT,0,116685824,0,0,0
1/1/2015,S1F0RSG7,0,18876760,0,406,0
1/1/2015,S1F0RSML,0,161981144,0,0,0
1/1/2015,S1F0RSMR,0,187173072,0,0,0
1/1/2015,S1F0RSWJ,0,88896736,0,0,0
1/1/2015,S1F0RSXC,0,198574248,0,0,0
1/1/2015,S1F0RSZP,0,83001592,0,0,0
1/1/2015,S1F0RSZZ,0,14208288,0,0,0
1/1/2015,S1F0RTQV,0,162237912,0,0,0
1/1/2015,S1F0RV6Z,0,135874632,0,0,0
1/1/2015,S1F0RVG8,0,204393912,0,0,6
1/1/2015,S1F0RVVR,0,172280032,0,0,0
1/1/2015,S1F0S02A,0,49170880,0,0,0
1/1/2015,S1F0S0NC,0,148908960,0,0,0
1/1/2015,S1F0S1QK,0,183166568,0,0,0
1/1/2015,S1F0S2WJ,0,91505920,1184,0,0
1/1/2015,S1F0S30R,0,11914784,0,0,0
1/1/2015,S1F0S33G,0,117494640,32,0,6
1/1/2015,S1F0S34C,0,27615232,0,1331,0
1/1/2015,S1F0S34Q,0,211989544,64728,0,10
1/1/2015,S1F0S351,0,229375968,0,0,0
1/1/2015,S1F0S363,0,220638992,0,0,0
1/1/2015,S1F0S382,0,200558600,0,0,0
1/1/2015,S1F0S387,0,181732808,0,2,0
1/1/2015,S1F0S3A3,0,148319888,0,0,0
1/1/2015,S1F0S3CR,0,194400080,0,0,0
1/1/2015,S1F0S3DF,0,92433864,0,0,0
1/1/2015,S1F0S454,0,103009368,0,0,0
1/1/2015,S1F0S49E,0,118734296,0,0,0
1/1/2015,S1F0S4CA,0,237105944,712,0,69
1/1/2015,S1F0S4EG,0,23890952,0,0,0
1/1/2015,S1F0S4G4,0,141861104,0,0,0
1/1/2015,S1F0S4GB,0,231317352,0,0,0
1/1/2015,S1F0S4MG,0,183233752,0,0,0
1/1/2015,S1F0S4QZ,0,99709176,0,0,0
1/1/2015,S1F0S4T6,0,71165536,0,0,0
1/1/2015,S1F0S4WV,0,145514928,0,0,0
1/1/2015,S1F0S4Y9,0,182406472,0,0,76
1/1/2015,S1F0S517,0,74907720,0,0,0
1/1/2015,S1F0S52H,0,238757760,0,0,0
1/1/2015,S1F0S537,0,57938952,0,0,0
1/1/2015,S1F0S561,0,175443328,0,0,0
1/1/2015,S1F0S57T,0,2412256,0,0,0
1/1/2015,S1F0S58D,0,54499064,0,0,0
1/1/2015,S1F0S5B2,0,45360768,0,0,0
1/1/2015,S1F0S5CE,0,218357112,0,0,0
1/1/2015,S1F0S5E9,0,34757536,0,0,0
1/1/2015,S1F0S5F0,0,213196216,0,0,0
